"epoch","training_loss","testing_loss"
0,44.93092567869957,28.684531700813164
1,28.22096183502928,24.32101100178088
2,26.249522021729895,23.252854401782407
3,22.172150404909825,21.914374753580255
4,22.405995708069902,20.353119935019542
5,20.86011291412597,22.805669672408346
6,19.57633102980066,17.219226817963488
7,20.070174091293456,19.707398097899002
8,18.72678725935043,15.081266864881677
9,18.366934895769077,16.05748047869084
10,17.00713599527136,17.014073514332207
11,17.23943879020975,14.54620378300295
12,16.608137369916793,22.25818885989108
13,15.50234543896736,13.663941718764224
14,16.52605427085085,14.137624202138287
15,15.846160020473155,13.179383652695154
16,16.050567014420285,12.213378456689544
17,15.292545628801305,12.338539197283277
18,14.887662974317022,15.566525136010121
19,14.855771819200921,12.533885668394928
20,14.734181218832097,15.128817768420204
21,15.555083570328165,14.649343710834698
22,14.224060185412144,11.803165573184772
23,14.567914491130951,11.705867080365197
24,13.571227459704623,11.988631335860592
25,13.285269476505036,11.032416472495612
26,13.395363088364297,16.374181823710263
27,13.60836235310169,11.29985481904725
28,14.051973188937978,10.9112035056292
29,12.989037529458392,13.0490771370419
30,13.325955554018629,9.902958168316696
31,12.614617080257293,10.825249508780947
32,12.683790410325882,10.347270789287858
33,11.695201956211253,10.128396238310863
34,12.55353060859315,10.834217585749546
35,12.251002298263794,19.72871025133941
36,12.184092695535497,13.165202496415478
37,12.505145262023236,10.948064548989473
38,12.10338217476581,9.588296617491771
39,12.141260974457923,10.241385888750271
40,12.394223119477008,9.793322755118547
41,11.558537262170873,10.002140799821433
42,11.75649959736682,9.532180599236893
43,12.166186084772677,9.669425099582995
44,11.384877416428099,11.093181765685648
45,11.241237695990725,8.598263441000954
46,11.229563239787486,8.76910293556876
47,11.089391589164734,8.988527406070192
48,11.014647572249809,11.834695633690236
49,11.307671499569365,8.486724124116412
50,10.66502611434206,10.245707914990893
51,10.701218748663335,11.81497890211768
52,10.630653756032599,8.732926410386117
53,10.484283450245858,11.251261778302112
54,10.835453124819917,8.52520032681651
55,11.053548033345253,8.79265027455354
56,10.41551310052263,8.050387653758971
57,10.343712152191934,8.972431692531554
58,10.655990611745956,9.218992855084144
59,10.271437205152308,9.585547812914443
60,10.284588170241802,8.86447331006244
61,10.196117811063504,11.8864474834527
62,11.172721059017993,8.930524883381391
63,10.066058135793565,12.440902134624578
64,10.56925997810161,7.864304014434249
65,10.599734509086355,9.2639680151212
66,9.444483946041858,8.722525238738221
67,10.038358836256442,7.1601267989914295
68,9.612010471713036,8.238614123125197
69,9.245675429226235,8.447080066774861
70,9.515250208561724,9.028258537336932
71,9.65551216640371,7.1608168448684575
72,9.19504353017249,7.375368830258563
73,9.726391477692635,7.990964392231683
74,9.003271888037945,8.097688097822465
75,8.78033875464759,7.876790094678685
76,8.795930983031049,6.916983949936043
