hidden_dim,epochs,control_outputs,curriculum,eps_per_input,wheelbase,training_loss,test_loss,ade,fde
16.0,200.0,60.0,TRUE,1.0,0.31020000000000000,0.0015289325965568400,0.0017867337446659800,0.04518897086381910,0.10495040565729100
16.0,200.0,60.0,TRUE,1.0,0.2302000000000000,0.0015135419089347100,0.001761050894856450,0.0497351698577404,0.1155950203537940
16.0,200.0,60.0,TRUE,1.0,0.0802,0.0015365296276286200,0.0018095466075465100,0.04292762279510500,0.10149604082107500
16.0,200.0,60.0,TRUE,1.0,0.15020000000000000,0.00152682070620358,0.0017653185641393100,0.04483020305633550,0.10680944472551300
16.0,200.0,60.0,TRUE,1.0,0.2702000000000000,0.0015298118814826000,0.0017759401816874700,0.04486199468374250,0.10464780777692800
16.0,200.0,60.0,TRUE,1.0,0.13020000000000000,0.0015287819551304000,0.0018261894583702100,0.043542832136154200,0.10400882363319400
16.0,200.0,60.0,TRUE,1.0,0.11020000000000000,0.001508320332504810,0.0018660641508176900,0.04679325595498090,0.10996150970459000
16.0,200.0,60.0,TRUE,1.0,0.09020000000000000,0.001535736839286980,0.0017996904207393500,0.043818067759275400,0.10613661259412800
16.0,200.0,60.0,TRUE,1.0,0.20020000000000000,0.0015329783782362900,0.0017879643710330100,0.045750219374895100,0.10952683538198500
16.0,200.0,60.0,TRUE,1.0,0.2502000000000000,0.0015390209155157200,0.0018051922088488900,0.04612727835774420,0.10919399559497800
16.0,200.0,60.0,TRUE,1.0,0.2402000000000000,0.0015217376640066500,0.0018834065413102500,0.04372110590338710,0.1022043228149410
16.0,200.0,60.0,TRUE,1.0,0.22020000000000000,0.0015393568901345100,0.0017920888494700200,0.04766084626317020,0.11568710952997200
16.0,200.0,60.0,TRUE,1.0,0.10020000000000000,0.0015316000208258600,0.0017940379912033700,0.053547825664281800,0.13380099833011600
16.0,200.0,60.0,TRUE,1.0,0.2602000000000000,0.001527864602394400,0.0017647427739575500,0.04459579288959500,0.10406539589166600
16.0,200.0,60.0,TRUE,1.0,0.21020000000000000,0.0015331871109083300,0.001779478625394400,0.047684263437986400,0.11463229358196300
16.0,200.0,60.0,TRUE,1.0,0.18020000000000000,0.0015311908209696400,0.001798449782654640,0.043962262570858,0.10419510304927800
16.0,200.0,60.0,TRUE,1.0,0.17020000000000000,0.0015332455513998900,0.0018415857339277900,0.0437491349875927,0.10429041087627400
16.0,200.0,60.0,TRUE,1.0,0.3002000000000000,0.00152951804921031,0.0017824716633185700,0.04555859416723250,0.10678719729185100
16.0,200.0,60.0,TRUE,1.0,0.14020000000000000,0.0015360384713858400,0.0019028125097975100,0.04385259374976160,0.10462694615125700
16.0,200.0,60.0,TRUE,1.0,0.2902000000000000,0.0015347203006967900,0.0017785151721909600,0.04684068262577060,0.10942792147398000
16.0,200.0,60.0,TRUE,1.0,0.16020000000000000,0.0015330839669331900,0.0018673663726076500,0.04341427981853490,0.10317441821098300
16.0,200.0,60.0,TRUE,1.0,0.19020000000000000,0.001532957423478370,0.0018344010459259200,0.043092358857393300,0.10153429955244100
16.0,200.0,60.0,TRUE,1.0,0.12020000000000000,0.001529386849142610,0.001779010402970020,0.042628396302461600,0.10065510123968100
16.0,200.0,60.0,TRUE,1.0,0.2802000000000000,0.0015342100523412200,0.0017809025011956700,0.04536005109548570,0.10650356113910700
16.0,200.0,60.0,TRUE,1.0,0.3202000000000000,0.0015328993322327700,0.0017793903825804600,0.04511987417936330,0.1041858047246930
16.0,200.0,60.0,TRUE,1.0,0.3302000000000000,0.0015302040847018400,0.0017949326429516100,0.04569007828831670,0.10619724541902500
16.0,200.0,60.0,TRUE,1.0,0.35020000000000000,0.0015319737140089300,0.0017909144517034300,0.04587706923484800,0.10613472014665600
16.0,200.0,60.0,TRUE,1.0,0.37020000000000000,0.0015304317930713300,0.001775059150531890,0.04635277017951010,0.10736753046512600
16.0,200.0,60.0,TRUE,1.0,0.3402000000000000,0.0015300080412998800,0.0017802469665184600,0.04571130871772770,0.10588525235652900
16.0,200.0,60.0,TRUE,1.0,0.40020000000000000,0.001530018518678840,0.0017821341753006000,0.046936050057411200,0.10821330547332800
16.0,200.0,60.0,TRUE,1.0,0.4302000000000000,0.0015286464476957900,0.0017743752105161500,0.04669803008437160,0.10683456808328600
16.0,200.0,60.0,TRUE,1.0,0.36020000000000000,0.0015303653199225700,0.001785272965207700,0.04643888399004940,0.10780636221170400
16.0,200.0,60.0,TRUE,1.0,0.3802000000000000,0.001531908055767420,0.0018068826757371400,0.04631485790014270,0.10722032934427300
16.0,200.0,60.0,TRUE,1.0,0.3902000000000000,0.001530387788079680,0.0017970686312764900,0.046521272510290100,0.10691170394420600
16.0,200.0,60.0,TRUE,1.0,0.4602000000000000,0.0015373333590105200,0.0017823715461418000,0.04716800898313520,0.10753069818019900
