hidden_dim,epochs,control_outputs,curriculum,eps_per_input,wheelbase,training_loss,test_loss,ade,fde
16.0,200.0,60.0,True,1.0,0.09019999999999999,0.0016088370466604829,0.0014366981340572238,0.04091811180114746,0.10915230959653854
16.0,200.0,60.0,True,1.0,0.0802,0.001610776991583407,0.0014934568898752332,0.044334396719932556,0.12098457664251328
16.0,200.0,60.0,True,1.0,0.11019999999999998,0.0015904714819043875,0.001402231864631176,0.03807901591062546,0.09992623329162598
16.0,200.0,60.0,True,1.0,0.12019999999999997,0.0015895440010353923,0.0014117755927145481,0.03874785080552101,0.1024683490395546
16.0,200.0,60.0,True,1.0,0.13019999999999998,0.0015907043125480413,0.0014070782344788313,0.03842233866453171,0.10079114884138107
16.0,200.0,60.0,True,1.0,0.10019999999999998,0.0015891172224655747,0.0014156446559354663,0.038928449153900146,0.10367520153522491
16.0,200.0,60.0,True,1.0,0.14019999999999996,0.001618245616555214,0.0014188246568664908,0.043062999844551086,0.11291468143463135
16.0,200.0,60.0,True,1.0,0.15019999999999994,0.0015971207758411765,0.0014026477001607418,0.0378490574657917,0.09883813560009003
16.0,200.0,60.0,True,1.0,0.16019999999999995,0.0015976839931681752,0.0014176018303260207,0.03940822556614876,0.1026633083820343
16.0,200.0,60.0,True,1.0,0.17019999999999996,0.0015999374445527792,0.001407217001542449,0.03924046456813812,0.10212342441082001
16.0,200.0,60.0,True,1.0,0.18019999999999994,0.0015950979432091117,0.001412643468938768,0.039065562188625336,0.10120190680027008
16.0,200.0,60.0,True,1.0,0.19019999999999992,0.0015975147252902389,0.0014236398274078965,0.04014892503619194,0.10410849004983902
16.0,200.0,60.0,True,1.0,0.20019999999999993,0.0015904568135738373,0.0014121228596195579,0.03877785801887512,0.09926951676607132
16.0,200.0,60.0,True,1.0,0.21019999999999994,0.0015914147952571511,0.0014130877098068595,0.03925254940986633,0.10031282901763916
16.0,200.0,60.0,True,1.0,0.22019999999999992,0.0015994459390640259,0.0014597235713154078,0.043150413781404495,0.11168691515922546
16.0,200.0,60.0,True,1.0,0.2301999999999999,0.0016000885516405106,0.001424166141077876,0.04124191030859947,0.10610245913267136
16.0,200.0,60.0,True,1.0,0.2401999999999999,0.0015992755070328712,0.001448408467695117,0.043265342712402344,0.11116518825292587
16.0,200.0,60.0,True,1.0,0.2501999999999999,0.0016033162828534842,0.0014257183065637946,0.041735198348760605,0.10672178119421005
16.0,200.0,60.0,True,1.0,0.2601999999999999,0.0016018279129639268,0.0014449559384956956,0.04262035712599754,0.1097702905535698
16.0,200.0,60.0,True,1.0,0.2701999999999999,0.0016031143022701144,0.0014466234715655446,0.04364641010761261,0.11205676943063736
16.0,200.0,60.0,True,1.0,0.2801999999999999,0.0016068376135081053,0.001421521999873221,0.04185131564736366,0.10626506805419922
16.0,200.0,60.0,True,1.0,0.2901999999999999,0.0016019877512007952,0.0014630905352532864,0.04492371901869774,0.11524045467376709
16.0,200.0,60.0,True,1.0,0.3001999999999999,0.001606927951797843,0.00144635618198663,0.04387834295630455,0.11150679737329483
16.0,200.0,60.0,True,1.0,0.31019999999999986,0.0015998611925169826,0.0014568103943020105,0.04480838403105736,0.11391208320856094
16.0,200.0,60.0,True,1.0,0.3201999999999999,0.0016042814822867513,0.0014482928672805429,0.04358258098363876,0.10969146341085434
16.0,200.0,60.0,True,1.0,0.3301999999999999,0.00160474912263453,0.0014460856327787042,0.04430355876684189,0.11119662970304489
16.0,200.0,60.0,True,1.0,0.3401999999999999,0.0016007304657250643,0.0014540061820298433,0.044771939516067505,0.11244616657495499
16.0,200.0,60.0,True,1.0,0.35019999999999984,0.0015988749219104648,0.0014291752595454454,0.04368206858634949,0.10911926627159119
16.0,200.0,60.0,True,1.0,0.36019999999999985,0.0016018938040360808,0.0014661437598988414,0.04601990059018135,0.11562500894069672
16.0,200.0,60.0,True,1.0,0.37019999999999986,0.0015986792277544737,0.0014501879923045635,0.044980306178331375,0.11235995590686798
16.0,200.0,60.0,True,1.0,0.3801999999999998,0.001601837808266282,0.0014513200148940086,0.045592278242111206,0.11348620802164078
16.0,200.0,60.0,True,1.0,0.3901999999999998,0.0016008593374863267,0.0014552182983607054,0.04545576497912407,0.1124924048781395
16.0,200.0,60.0,True,1.0,0.40019999999999983,0.0015987223014235497,0.0014480758691206574,0.04557560756802559,0.11248613148927689
16.0,200.0,60.0,True,1.0,0.41019999999999984,0.0015983855118975043,0.001449196133762598,0.046112142503261566,0.11363019049167633
16.0,200.0,60.0,True,1.0,0.42019999999999985,0.0016000309260562062,0.0014594524400308728,0.04673950374126434,0.11496080458164215
16.0,200.0,60.0,True,1.0,0.4301999999999998,0.0016041803173720837,0.0014313752762973309,0.044860612601041794,0.10946439206600189
16.0,200.0,60.0,True,1.0,0.4401999999999998,0.001597859780304134,0.0014186309417709708,0.04459267109632492,0.1077943816781044
16.0,200.0,60.0,True,1.0,0.4501999999999998,0.001600078190676868,0.0014680654276162386,0.04797256365418434,0.11761794239282608
16.0,200.0,60.0,True,1.0,0.4601999999999998,0.0015968092484399676,0.0014309583930298686,0.045449599623680115,0.10997426509857178
16.0,200.0,60.0,True,1.0,0.4701999999999998,0.001596922054886818,0.0014173255767673254,0.045260556042194366,0.1085786446928978
16.0,200.0,60.0,True,1.0,0.4801999999999998,0.0015966673381626606,0.0014297516318038106,0.0456886924803257,0.10980653017759323
16.0,200.0,60.0,True,1.0,0.4901999999999998,0.0015987467486411333,0.0014194456161931157,0.04587939381599426,0.10983861982822418
16.0,200.0,60.0,True,1.0,0.5001999999999998,0.001602093456313014,0.0014642965979874134,0.048768725246191025,0.11729142814874649
16.0,200.0,60.0,True,1.0,0.5101999999999998,0.0015969499945640564,0.001421055058017373,0.046287812292575836,0.10991047322750092
16.0,200.0,60.0,True,1.0,0.5201999999999998,0.0016013175481930375,0.0014654129045084119,0.049696728587150574,0.11930058151483536
16.0,200.0,60.0,True,1.0,0.5301999999999998,0.0016013807617127895,0.0014270090032368898,0.04693750664591789,0.11121112108230591
16.0,200.0,60.0,True,1.0,0.5401999999999998,0.0016042976640164852,0.0014628394274041057,0.04941559210419655,0.1179889515042305
